category,name,contact_email,phone,address,source,notes
association,Association of Family Offices in Asia (AFO),afo@familyoffices-asia.org,,145 Connaught Road 10/F Dawning House Central HK,linkedin/website,~30 members; also evalaw@familyoffices-asia.org
association,Family Office Association Hong Kong (FOAHK),info@foahk.org,foahk.org,Largest FO professional community in Asia,,
gov,InvestHK Family Office Unit,,familyofficehk.gov.hk,HK$100M funded unit; 200+ new ops facilitated,government,Free gov gateway to FO network
fo,Raffles Family Office,info@rafflesfo.com,+852-3108-8700,"299QRC, 8/F, 287-299 Queen's Road Central, Sheung Wan",swfinstitute.org,32 contacts listed; MFO $2B AUM; CEO Kwan Chi Man
fo,VMS Group,,Central HK,,northdakotassa.com/dakota,MFO $4.3B; Cheng family (Chow Tai Fook) backed; 25+ family groups
fo,Nan Fung Trinity,,24/F Nan Fung Tower 88 Connaught Road Central,,allfamilyoffices.com,SFO; 40-person investment team
fo,Blue Pool Capital,,Hong Kong,,praxisrock.com,SFO $50B+; Joseph Tsai / Alibaba execs; CEO Oliver Weisberg
fo,Gaw Capital Partners,,Hong Kong,,praxisrock.com,SFO $8B+; Goodwin Gaw
fo,Junson Capital,,Hong Kong,,praxisrock.com,SFO $4-5B
fo,Carret Private (Kenneth Ho),,Hong Kong,,praxisrock.com,MFO; affiliate of Carret Asset Mgmt NY
fo,Blackhorn,,Hong Kong,,dakota.com,MFO/EAM $1B; ~200 families; SFC Type 4 & 9
fo,Fargo,,Tsim Sha Shui (Fargo Space),,praxisrock.com,Digital-first MFO; next-gen Chinese entrepreneurs
fo,Wisdom Family Office,,Hong Kong,,praxisrock.com,SFO $7B+
fo,Youxfort Family Office,,710 East Ocean Centre 98 Granville Road TST East,,dakota.com,MFO
fo,Fountainhead Partners (Harry Pang),,Hong Kong,,foahk.org,MFO; ex-UBS/ Morgan Stanley
fo,Topaz Family Office Services (Jim Kwok),,Hong Kong,,foahk.org,Under Topaz Financial Group
fo,Wisdom Asset Management (Grant Ko),,Hong Kong,,foahk.org,MFO
fo,ALPS Capital,,Hong Kong,,praxisrock.com,MFO
fo,Capital Global Management,,Hong Kong,,praxisrock.com,MFO
fo,Deyu Family Office (Wei Xiaoxiang),,Hong Kong,,familyoffices-asia.com,AFO member; ex-Citi/HSBC/Ping An
fo,NexGenerator (Angel Chia),,Hong Kong,,foahk.org,FO accelerator; AFO Chair
social_ig,龔成,kungshing80@ (DM),,Instagram @kungshing80 38.8K,instagram,Finance author / wealth education
social_ig,GO FIRE 財務自由,gofire.today@ (DM),,Instagram @gofire.today 24.8K,instagram,FIRE / investing
social_ig,貼地保險叔叔,insurance__memes@ (DM),,Instagram @insurance__memes 9.2K,instagram,Insurance agent community
social_ig,NextChange 企業保險專家,nextchange8@ (DM),,Instagram @nextchange8,instagram,Corporate insurance
social_ig,ibankcoaching,ibankcoaching@ (DM),,Instagram @ibankcoaching 10.6K,instagram,Private banking / IB careers
social_ig,信報財經 hkej1973,hkej1973@ (DM),,Instagram @hkej1973 41K,instagram,Media
social_ig,樓市日常,propertydailyhk@ (DM),,Instagram @propertydailyhk 10K,instagram,Property
social_ig,AIA 香港,aiahongkongmacau@ (DM),,Instagram @aiahongkongmacau 32.9K,instagram,Insurer
social_ig,AXA 安盛,axahongkong@ (DM),,Instagram @axahongkong 11.9K,instagram,Insurer
social_ig,FWD 富衛,fwd_hk@ (DM),,Instagram @fwd_hk 21.5K,instagram,Insurer
school,Malvern College Hong Kong,admissions@malverncollege.org.hk,+852 3898 4688,3 Fo Chun Road Pak Shek Kok,web,Uplands international school
school,American School Hong Kong (ASHK),admissions@ashk.edu.hk,+852 3919 4111,6 Ma Chung Road Tai Po,web,American curriculum + IB
school,Nord Anglia International School HK,admissions@nais.hk,+852 3958 1428,11 On Tin St Lam Tin / 19 Yuet Wah St Kwun Tong,web,English National Curriculum + IB
school,Chinese International School,cis_info@cis.edu.hk,+852 2510 7288,1 Hau Yuen Path Braemar Hill,web,British/International
school,Canadian International School HK,admissions@cdnis.edu.hk,+852 2525 7088,36 Nam Long Shan Road Aberdeen,web,IB school
school,Hong Kong International School (HKIS),admissions@hkis.edu.hk,+852 2812 5000,1 Red Hill Road Tai Tam,web,Reception-Grade 12
school,Kellett School,admissions@kellettschool.com,+852 3120 0700,7 Lam Hing Street Kowloon Bay,web,British curriculum
school,Carmel School,admissions@carmel.edu.hk,+852 3665 5388,1 Robinson Road Mid-Levels,web,IB ages 1-17
school,Island School (ESF),school@online.island.edu.hk,+852 2524 7135,20 Borrett Road Mid-Levels,web,ESF
school,International College HK (HLY),,Hong Lok Yuen Tai Po,web,IB PYP,
